gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement	masked
RvY_09624-1	0.593965651454107	1.6976314381447	2338	307	2031	FALSE
RvY_00814-1	0.332798704987229	1.69744360419488	6017	308	5709	FALSE
RvY_03060-1	0.0201158545334783	1.69667304089891	14576	309	14267	TRUE
RvY_05406-1	0.30331910285002	1.69595218051957	6649	310	6339	FALSE
RvY_17279-1	0.013377190928229	1.69263057377646	14788	311	14477	TRUE
RvY_12076-1	0.448881040544803	1.69115080621426	4020	312	3708	FALSE
RvY_00686-1	0.489381128286412	1.69072222497893	3460	313	3147	FALSE
RvY_04505	0.550854234393444	1.6906868448702	2740	314	2426	FALSE
RvY_03229-1	0.438211253920537	1.6899376727347	4168	315	3853	FALSE
RvY_05923-1	1.06701354906053	1.68881194974997	336	316	20	FALSE
RvY_03507	0.134733729316974	1.68817867272533	10925	317	10608	FALSE
RvY_11667-1	0.120663444205268	1.68759406159062	11347	318	11029	FALSE
RvY_16720	0.475615173920443	1.68494639387773	3629	319	3310	FALSE
RvY_14100-1	0.00729613190143397	1.68364983133066	14975	320	14655	TRUE
RvY_03227-1	1.89503155911122	1.68250744628396	8	321	-313	FALSE
RvY_01299	0.805945022121575	1.68156655439249	1048	322	726	FALSE
RvY_07439	0.479727070740068	1.68133201228046	3580	323	3257	FALSE
RvY_15133-1	0.0216072886887275	1.68118556026306	14529	324	14205	TRUE
RvY_19214	1.50633773503994	1.68071873784698	48	325	-277	FALSE
RvY_04106-1	0.301853962554875	1.67961728525807	6680	326	6354	FALSE
RvY_16351	0.496649512391205	1.67854153437619	3358	327	3031	FALSE
RvY_07293-1	0.190823797937894	1.67580071767261	9352	328	9024	FALSE
RvY_04553-1	0.00935676574163935	1.67472757716792	14916	329	14587	TRUE
RvY_09388	0.277277993137399	1.67411085382044	7250	330	6920	FALSE
RvY_05469-1	0.341231007058429	1.67394386596067	5842	331	5511	FALSE
RvY_03025-1	0.107131922144456	1.6723098251546	11738	332	11406	TRUE
RvY_04256-1	0.193781968960282	1.66936145894811	9284	333	8951	FALSE
RvY_06249-1	0.027938704602132	1.66808585537113	14326	334	13992	TRUE
RvY_09840-1	1.215681070828	1.66794300371293	185	335	-150	FALSE
RvY_15661-1	0.694624127935924	1.66539137892445	1589	336	1253	FALSE
RvY_05567-1	0.145153431493088	1.66423113561643	10630	337	10293	FALSE
RvY_12465-1	0.344571224731247	1.66406682907901	5778	338	5440	FALSE
RvY_11160	0.244868163995728	1.66380104645535	7977	339	7638	FALSE
RvY_10347-1	0.150498773926364	1.66263179245563	10485	340	10145	FALSE
RvY_09066	0.364203497232325	1.66190533730845	5397	341	5056	FALSE
RvY_07855-1	0.184138795685935	1.66073063840474	9524	342	9182	FALSE
RvY_11856-1	0.619004974602499	1.66020144425658	2113	343	1770	FALSE
RvY_02784-1	1.36244753556252	1.65998541702848	98	344	-246	FALSE
RvY_07327	0.714580920980169	1.65804033538461	1475	345	1130	FALSE
RvY_04264	0.59571483033892	1.65770093565768	2324	346	1978	FALSE
RvY_05810-1	0.147854922765569	1.65730762018116	10549	347	10202	FALSE
