gene	n_timepoints	delta_pool	hetero_gap	discordance	instability_score	var_proxy
RvY_06221-1	8	0.368878524479029	0.531156615087719	0	0.531156615087719	0.0368453398944238
RvY_06222-1	8	0.0754457091815154	0.878267319770137	0.375	1.20761756468394	0.10006490828698
RvY_06223-1	8	0.964863280331137	1.34637705749982	0	1.34637705749982	0.218007057415711
RvY_06227-1	8	-0.279848480081105	0.758105770982498	0.25	0.947632213728123	0.0757827377981337
RvY_06229-1	8	0.0566148102827346	0.692749962233954	0.5	1.03912494335093	0.0499146379640114
RvY_06230-1	8	-0.528128886865911	1.49846598835273	0.25	1.87308248544091	0.340039727384458
RvY_06231-1	8	-0.351164449717607	0.507623846534498	0	0.507623846534498	0.0283553106259841
RvY_06234-1	8	-0.0818212497299356	0.489449793250908	0.375	0.672993465719999	0.0364652242558547
RvY_06243-1	8	0.178147999325554	0.461580734358416	0.125	0.519278326153218	0.0204031691226431
RvY_06244-1	8	0.204038990524259	0.78763847776433	0.25	0.984548097205412	0.0718929739170257
RvY_06245-1	8	-0.116376806266977	0.764192666780957	0.375	1.05076491682382	0.0669222359969307
RvY_06246-1	8	-0.00500832216839791	0.623610735699955	0.375	0.857464761587439	0.0338398403409599
RvY_06247	8	-0.0746769226368758	0.499272762253053	0.375	0.686500048097948	0.0322954980482737
RvY_06248-1	8	0.173040519755713	0.710474515322321	0.375	0.976902458568191	0.0764351749548101
RvY_06249-1	8	-1.04857850706248	0.718423338554005	0	0.718423338554005	0.0825993669685404
RvY_06251-1	8	-1.46162463823536	1.18351648894133	0	1.18351648894133	0.17411692423784
RvY_06252	8	0.73982502735348	0.979218458849928	0	0.979218458849928	0.104086250953433
RvY_06254-2	8	0.296158223659637	0.861816923082355	0.25	1.07727115385294	0.0821674246836865
RvY_06255-3	8	-0.455822155684856	3.86101098447669	0.375	5.30889010365545	1.71364857980225
RvY_06258-1	8	-0.0590994873068918	2.57159575900001	0.625	4.17884310837502	1.02153498034525
RvY_06259	8	-0.128729192214834	1.05942850204165	0.25	1.32428562755206	0.0980724270137598
RvY_06260-1	8	-1.06819389222033	1.60414179814813	0	1.60414179814813	0.321445032086025
RvY_06262-1	8	0.333433156010691	1.14012738744521	0.25	1.42515923430651	0.187495539160659
RvY_06263-1	8	0.752573143164262	1.1884237449002	0	1.1884237449002	0.196726163082619
RvY_06264-1	8	0.918617326861938	0.715861550745601	0	0.715861550745601	0.0557005570097031
RvY_06265	8	0.473122957212719	0.600352637606287	0	0.600352637606287	0.0417704264282951
RvY_06266-1	8	-0.36783197981492	1.00750551852457	0.125	1.13344370834014	0.108000693504357
RvY_06267-1	8	0.0609597438771214	0.59476410784583	0.375	0.817800648288016	0.0331809334317847
RvY_06268	8	-0.45445997551717	0.79224235130103	0	0.79224235130103	0.0631672922243806
RvY_06270	8	-0.113934974762136	0.440789825802695	0.25	0.550987282253369	0.0259611285823727
RvY_06271-1	8	-1.24393062450592	1.06609601824009	0	1.06609601824009	0.133015479328945
RvY_06272-1	8	-0.511350595553838	0.547914594409336	0	0.547914594409336	0.0264754740771911
RvY_06273	8	-0.775695162210796	0.741736232637637	0	0.741736232637637	0.0743260423336588
RvY_06275-1	8	-1.23565290396672	0.932031265868994	0	0.932031265868994	0.109803216352055
RvY_06279-1	8	-1.48187364622858	3.87515891179217	0.125	4.35955377576619	1.63421803995769
RvY_06281-1	8	-0.490036571546315	0.809951161750772	0	0.809951161750772	0.0802925968033914
