gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_15226-1	NA	GAV05038.1	hypothetical protein	exact_gene	-0.00621725561520847	1.17264321991731
RvY_15235-1	NA	GAV05047.1	hypothetical protein	exact_gene	-0.102347976024299	1.3494457141146
RvY_15312-1	NA	GAV05136.1	hypothetical protein	exact_gene	0.00756691186576664	1.17870700915158
RvY_15329-1	NA	GAV05157.1	hypothetical protein	exact_gene	-0.110641324061135	1.5190255166362
RvY_15496-1	NA	GAV05348.1	hypothetical protein	exact_gene	0.0558018374453386	1.29838778403425
RvY_15547-1	NA	GAV05407.1	hypothetical protein	exact_gene	-0.0479625864822637	1.4223792270694
RvY_15640-1	NA	GAV05520.1	hypothetical protein	exact_gene	0.111082614664602	2.12005855133942
RvY_15664	NA	GAV05546.1	hypothetical protein	exact_gene	0.00295189423940112	1.17233926332413
RvY_15772	NA	GAV05678.1	hypothetical protein	exact_gene	0.0814323996729982	1.14847617242451
RvY_15790-1	NA	GAV05698.1	hypothetical protein	exact_gene	0.0265130274302834	1.21285650993519
RvY_15840-1	NA	GAV05760.1	hypothetical protein	exact_gene	-0.0752359563285632	2.16064463828368
RvY_16000-1	NA	GAV05950.1	hypothetical protein	exact_gene	0.110728536200512	1.40585910363512
RvY_16048-1	NA	GAV06005.1	seven-up/COUP-TF	exact_gene	-0.0157159340333202	1.32130246809356
RvY_16079-1	NA	GAV06040.1	hypothetical protein	exact_gene	0.0722435195317743	1.20047326568551
RvY_16143-1	NA	GAV06111.1	hypothetical protein	exact_gene	0.0472019897382587	1.23759343534126
RvY_16169-1	NA	GAV06138.1	hypothetical protein	exact_gene	-0.101645926849778	1.69784421625188
RvY_16270-1	NA	GAV06250.1	hypothetical protein	exact_gene	-0.0894616228342766	1.93495443834467
RvY_16432-1	NA	GAV06438.1	hypothetical protein	exact_gene	0.0306087910795254	1.61798559323644
RvY_16498-1	NA	GAV06529.1	hypothetical protein	exact_gene	0.0604462953134304	1.30199250434054
RvY_16521-1	NA	GAV06555.1	hypothetical protein	exact_gene	-0.0856549337919237	1.3693062310362
RvY_16628-1	NA	GAV06681.1	hypothetical protein	exact_gene	0.0518619213571192	1.31203893255543
RvY_16773-1	NA	GAV06856.1	hypothetical protein	exact_gene	0.0312646398300984	1.41481798280339
RvY_16776-1	NA	GAV06861.1	hypothetical protein	exact_gene	-0.0947105401007384	1.65262142760905
RvY_17017-1	NA	GAV07142.1	hypothetical protein	exact_gene	0.0575995411893686	2.2280556087764
RvY_17033-1	NA	GAV07158.1	hypothetical protein	exact_gene	-0.112846630608538	1.29639626890348
RvY_17073-1	NA	GAV07203.1	hypothetical protein	exact_gene	0.0407773807094545	1.39711932502163
RvY_17155	NA	GAV07301.1	hypothetical protein	exact_gene	-0.0968068282984937	1.25051170597615
RvY_17279-1	NA	GAV07446.1	hypothetical protein	exact_gene	0.013377190928229	1.69263057377646
RvY_17292-1	NA	GAV07462.1	hypothetical protein	exact_gene	-0.00568488088205399	1.47990453959882
RvY_17360-1	NA	GAV07535.1	hypothetical protein	exact_gene	-0.104326776780013	1.30173915711814
